Total;13.770.793;13.991.127;14.206.429;14.414.046;14.613.776;14.809.841;15.001.623;15.185.799;15.365.623;15.543.565;15.715.924;15.882.092;16.041.612;16.198.348;16.356.738;16.516.863;16.682.228;16.855.484;17.030.393;17.204.567;17.380.597;17.559.507;17.749.360;17.954.875;18.190.964;18.460.529;18.754.494;19.040.037;19.235.540;19.391.613;19.581.575;19.756.365;19.904.328;20.036.669;20.150.948;20.252.145;20.342.246;20.421.403;20.489.812;20.546.653;20.590.711;20.621.533;20.639.005;20.643.490;20.635.825;20.617.132;20.588.655;20.551.753;20.508.117;20.459.180;20.405.521;20.347.272;20.284.551;20.217.414;20.145.968;20.070.235;19.990.194;19.905.775;19.816.858;19.723.225;19.624.629;19.520.801;19.411.448;19.296.388;19.175.470;19.048.653;18.916.047;18.777.806;18.634.210;18.485.577;18.332.247;18.174.541;18.012.787;17.847.299;17.678.364;17.506.235;17.331.111;17.153.173;16.972.558
23;123.290;122.381;123.625;126.219;128.589;127.948;124.328;120.466;117.276;116.497;119.271;124.494;129.596;131.199;129.226;126.841;126.958;129.202;133.717;140.046;146.367;149.606;148.644;146.441;145.052;144.994;144.096;142.740;140.790;138.932;137.182;134.763;133.807;131.801;128.859;127.127;126.449;127.173;130.080;133.967;137.270;138.733;137.561;135.891;134.823;136.290;136.687;131.882;124.968;121.377;117.908;109.966;101.175;99.399;97.515;88.222;79.767;74.023;70.793;68612;66578;64679;62907;61264;59752;58386;57250;56415;55862;55486;55183;54939;54743;54596;54499;54447;54423;54419;54409
24;125.434;123.194;122.288;123.539;126.151;128.543;127.944;124.342;120.484;117.323;116.566;119.356;124.595;129.708;131.324;129.364;126.994;127.138;129.453;134.047;140.493;146.978;150.395;149.692;148.133;147.490;147.914;146.920;144.402;142.217;140.927;138.754;136.052;135.167;133.096;130.085;128.281;127.529;128.178;130.992;134.766;137.949;139.290;137.999;136.216;135.047;136.429;136.762;131.922;124.995;121.397;117.921;109.975;101.180;99.399;97.509;88.214;79.756;74.009;70777;68593;66557;64656;62882;61238;59725;58359;57222;56387;55834;55459;55156;54912;54716;54569;54472;54421;54397;54393
25;127.028;125.339;123.106;122.208;123.475;126.116;128.543;127.958;124.366;120.528;117.388;116.656;119.454;124.703;129.837;131.470;129.527;127.193;127.411;129.802;134.528;141.147;147.812;151.490;151.444;150.654;150.496;150.808;148.622;145.847;144.240;142.534;140.072;137.444;136.495;134.355;131.272;129.395;128.568;129.124;131.824;135.475;138.533;139.751;138.346;136.461;135.207;136.525;136.820;131.965;125.032;121.428;117.947;109.996;101.198;99.412;97.518;88.219;79.759;74010;70776;68590;66551;64649;62874;61229;59716;58349;57212;56377;55824;55449;55147;54903;54707;54560;54463;54412;54389
26;127.998;126.921;125.253;123.033;122.149;123.447;126.120;128.556;127.982;124.403;120.590;117.484;116.761;119.571;124.838;129.992;131.632;129.720;127.469;127.762;130.283;135.174;141.966;148.900;153.243;153.953;153.637;153.383;152.511;150.063;147.864;145.855;143.883;141.490;138.788;137.770;135.558;132.402;130.450;129.531;129.973;132.552;136.078;139.014;140.118;138.612;136.642;135.325;136.604;136.883;132.022;125.084;121.475;117.988;110.034;101.232;99.442;97.544;88.244;79782;74031;70795;68607;66567;64663;62887;61242;59728;58361;57225;56390;55837;55462;55160;54917;54721;54574;54477;54426
27;128.617;127.918;126.853;125.187;122.970;122.114;123.453;126.133;128.572;128.011;124.457;120.678;117.586;116.878;119.708;124.992;130.156;131.835;129.998;127.811;128.229;130.913;135.979;143.027;150.602;155.689;156.874;156.476;155.062;153.931;152.056;149.475;147.206;145.306;142.848;140.075;138.983;136.696;133.464;131.421;130.392;130.716;133.172;136.579;139.402;140.406;138.817;136.785;135.431;136.695;136.966;132.100;125.157;121.543;118.052;110.094;101.290;99.496;97.595;88294;79831;74078;70840;68650;66610;64705;62929;61284;59770;58403;57267;56433;55880;55505;55203;54960;54765;54618;54521
28;128.612;128.539;127.845;126.785;125.134;122.946;122.122;123.473;126.155;128.613;128.075;124.542;120.775;117.698;117.014;119.854;125.144;130.343;132.091;130.326;128.268;128.845;131.693;137.006;144.662;152.940;158.476;159.584;158.084;156.419;155.844;153.622;150.802;148.601;146.635;144.107;141.263;140.099;137.740;134.421;132.272;131.130;131.339;133.681;136.980;139.708;140.632;138.983;136.917;135.549;136.805;137.070;132.199;125.253;121.635;118.139;110.179;101.373;99.576;97672;88370;79906;74153;70913;68723;66682;64777;63000;61355;59842;58475;57340;56506;55954;55579;55277;55034;54839;54692
29;127.294;128.550;128.481;127.789;126.740;125.109;122.952;122.138;123.496;126.198;128.676;128.157;124.637;120.891;117.835;117.169;120.012;125.324;130.599;132.419;130.771;128.860;129.598;132.675;138.556;146.885;155.598;161.066;161.129;159.383;158.237;157.346;154.906;152.151;149.892;147.860;145.266;142.354;141.120;138.679;135.261;133.006;131.755;131.856;134.097;137.305;139.956;140.823;139.142;137.063;135.689;136.939;137.198;132.323;125.374;121.753;118.254;110.292;101.485;99685;97780;88477;80013;74259;71019;68829;66787;64882;63105;61461;59948;58581;57446;56613;56061;55687;55385;55142;54947
30;125.167;127.231;128.492;128.431;127.741;126.715;125.116;122.963;122.159;123.542;126.260;128.754;128.249;124.750;121.020;117.982;117.330;120.200;125.577;130.914;132.848;131.349;129.583;130.538;134.157;140.657;149.402;158.057;162.521;162.336;161.085;159.672;158.581;156.191;153.383;151.064;148.971;146.314;143.339;142.029;139.495;135.978;133.622;132.272;132.280;134.436;137.572;140.170;141.007;139.313;137.228;135.849;137.094;137.349;132.470;125.519;121.895;118.394;110.431;101624;99822;97915;88613;80149;74395;71155;68965;66923;65018;63243;61599;60086;58720;57585;56752;56201;55827;55525;55283
31;122.899;125.112;127.177;128.452;128.398;127.723;126.726;125.133;122.986;122.204;123.613;126.347;128.849;128.363;124.876;121.158;118.132;117.511;120.447;125.883;131.314;133.374;132.014;130.455;131.912;136.111;142.989;151.687;159.423;163.645;163.924;162.438;160.854;159.816;157.369;154.504;152.126;149.973;147.255;144.209;142.813;140.188;136.578;134.130;132.693;132.622;134.713;137.800;140.368;141.193;139.493;137.404;136.021;137.261;137.512;132.631;125.678;122.053;118.549;110586;101779;99977;98068;88767;80304;74551;71311;69120;67079;65176;63401;61757;60245;58880;57745;56912;56361;55988;55686
32;119.795;122.858;125.071;127.143;128.425;128.384;127.729;126.741;125.155;123.030;122.270;123.696;126.452;128.960;128.482;125.014;121.305;118.304;117.733;120.724;126.258;131.807;133.991;132.829;131.740;133.742;138.308;145.148;152.971;160.474;165.147;165.214;163.566;162.030;160.941;158.438;155.516;153.081;150.870;148.085;144.959;143.477;140.764;137.069;134.539;133.029;132.898;134.943;138.001;140.557;141.377;139.673;137.581;136.194;137.430;137.677;132.795;125.842;122.214;118710;110747;101941;100137;98228;88928;80466;74715;71476;69285;67245;65342;63568;61925;60413;59048;57914;57082;56531;56158
33;115.841;119.761;122.831;125.041;127.110;128.413;128.396;127.746;126.765;125.188;123.095;122.364;123.794;126.556;129.072;128.601;125.143;121.465;118.519;117.995;121.058;126.706;132.376;134.731;134.011;133.420;135.765;140.308;146.334;153.947;161.881;166.358;166.275;164.671;163.081;161.938;159.381;156.405;153.914;151.640;148.781;145.575;144.011;141.217;137.447;134.850;133.283;133.110;135.129;138.175;140.726;141.541;139.834;137.739;136.349;137.582;137.827;132.944;125.990;122361;118856;110895;102090;100286;98376;89078;80618;74868;71630;69440;67400;65499;63725;62082;60572;59207;58074;57242;56691
34;111.053;115.808;119.735;122.806;125.002;127.087;128.425;128.413;127.769;126.796;125.233;123.168;122.454;123.887;126.649;129.177;128.725;125.298;121.672;118.778;118.333;121.488;127.250;133.078;135.832;135.594;135.333;137.651;141.419;147.241;155.261;163.002;167.323;167.286;165.645;164.005;162.812;160.204;157.177;154.628;152.284;149.350;146.067;144.427;141.563;137.730;135.080;133.474;133.277;135.286;138.327;140.873;141.684;139.975;137.877;136.485;137.715;137.957;133.074;126121;122492;118987;111026;102223;100419;98509;89213;80756;75008;71770;69581;67543;65642;63869;62227;60717;59353;58220;57389
35;105.706;111.018;115.772;119.703;122.780;124.988;127.092;128.439;128.434;127.799;126.846;125.306;123.248;122.546;123.981;126.752;129.299;128.858;125.470;121.892;119.075;118.734;121.989;127.894;134.093;137.284;137.354;137.068;138.676;142.257;148.449;156.298;163.907;168.261;168.174;166.487;164.800;163.559;160.904;157.823;155.208;152.795;149.790;146.438;144.732;141.810;137.929;135.243;133.615;133.410;135.414;138.451;140.993;141.801;140.090;137.990;136.596;137.824;138.064;133181;126229;122600;119096;111137;102335;100532;98623;89330;80876;75129;71893;69705;67667;65768;63996;62354;60845;59481;58349
36;101.192;105.674;110.996;115.736;119.676;122.776;124.990;127.099;128.452;128.446;127.827;126.904;125.367;123.325;122.635;124.075;126.852;129.416;129.023;125.672;122.151;119.426;119.184;122.566;128.818;135.436;138.905;138.951;138.025;139.472;143.395;149.422;157.134;164.768;169.082;168.950;167.218;165.486;164.200;161.495;158.353;155.674;153.195;150.126;146.713;144.952;141.985;138.072;135.366;133.731;133.523;135.523;138.556;141.094;141.899;140.186;138.086;136.691;137.916;138155;133272;126322;122694;119190;111234;102435;100633;98724;89435;80984;75239;72004;69817;67781;65882;64111;62470;60961;59599
37;97.563;101.165;105.643;110.967;115.715;119.670;122.779;124.998;127.107;128.468;128.480;127.874;126.949;125.410;123.389;122.711;124.146;126.940;129.549;129.194;125.910;122.467;119.814;119.691;123.393;130.031;136.916;140.372;139.821;138.755;140.528;144.294;150.203;157.945;165.534;169.800;169.624;167.848;166.073;164.738;161.977;158.777;156.036;153.497;150.371;146.908;145.105;142.107;138.178;135.466;133.828;133.618;135.615;138.643;141.179;141.981;140.267;138.166;136.770;137994;138233;133351;126403;122776;119273;111320;102525;100723;98815;89530;81082;75340;72107;69921;67885;65988;64217;62577;61069
38;95.392;97.519;101.118;105.592;110.927;115.693;119.660;122.779;124.998;127.108;128.489;128.515;127.919;126.999;125.467;123.458;122.778;124.234;127.062;129.691;129.389;126.183;122.815;120.273;120.457;124.520;131.404;138.282;141.172;140.494;139.752;141.371;145.022;150.967;158.668;166.208;170.428;170.209;168.393;166.572;165.184;162.367;159.109;156.313;153.721;150.548;147.047;145.215;142.201;138.266;135.553;133.914;133.702;135.695;138.720;141.253;142.053;140.339;138.238;136842;138065;138302;133422;126477;122852;119350;111400;102608;100807;98901;89620;81176;75436;72204;70019;67985;66088;64319;62679
39;92.275;95.344;97.473;101.071;105.537;110.890;115.676;119.644;122.766;124.982;127.104;128.509;128.549;127.961;127.043;125.514;123.517;122.856;124.336;127.192;129.867;129.621;126.482;123.216;120.953;121.478;125.786;132.679;139.041;141.812;141.432;140.558;142.065;145.741;151.647;159.299;166.792;170.967;170.708;168.848;166.978;165.537;162.667;159.357;156.512;153.876;150.668;147.140;145.293;142.274;138.340;135.625;133.985;133.772;135.762;138.784;141.315;142.114;140.400;138299;136903;138125;138362;133484;126542;122919;119419;111472;102684;100885;98980;89703;81262;75525;72295;70112;68078;66183;64414
40;87.211;92.219;95.294;97.426;101.024;105.507;110.868;115.646;119.610;122.755;124.986;127.106;128.512;128.550;127.983;127.080;125.547;123.570;122.935;124.434;127.346;130.089;129.893;126.851;123.859;121.918;122.662;126.962;133.362;139.609;142.658;142.163;141.213;142.748;146.377;152.237;159.843;167.291;171.425;171.124;169.218;167.299;165.807;162.887;159.532;156.646;153.976;150.743;147.203;145.351;142.333;138.399;135.684;134.043;133.828;135.816;138.835;141.364;142.163;140449;138348;136953;138174;138411;133536;126598;122977;119479;111536;102753;100955;99052;89779;81342;75608;72380;70197;68165;66270
41;83.383;87.152;92.154;95.237;97.373;100.968;105.467;110.828;115.599;119.568;122.715;124.958;127.087;128.492;128.555;128.003;127.098;125.586;123.633;123.025;124.572;127.537;130.343;130.241;127.434;124.736;123.015;123.754;127.586;133.886;140.397;143.330;142.755;141.833;143.332;146.920;152.736;160.299;167.704;171.796;171.451;169.500;167.534;165.996;163.033;159.641;156.724;154.031;150.787;147.243;145.391;142.373;138.440;135.726;134.085;133.869;135.855;138.872;141.399;142197;140483;138384;136990;138210;138448;133576;126641;123023;119527;111588;102810;101013;99112;89843;81411;75680;72453;70272;68241
42;81.481;83.298;87.067;92.067;95.167;97.321;100.915;105.419;110.783;115.549;119.523;122.682;124.923;127.058;128.470;128.533;127.992;127.114;125.624;123.712;123.151;124.729;127.754;130.641;130.756;128.227;125.739;124.039;124.338;128.058;134.620;141.027;143.867;143.317;142.371;143.833;147.381;153.158;160.680;168.042;172.090;171.702;169.707;167.698;166.119;163.122;159.701;156.764;154.060;150.814;147.271;145.419;142.402;138.470;135.757;134.117;133.901;135.884;138.899;141424;142221;140509;138411;137018;138239;138477;133608;126678;123063;119569;111635;102862;101067;99167;89904;81476;75748;72523;70344
43;79.947;81.396;83.222;86.995;91.986;95.090;97.262;100.857;105.364;110.727;115.496;119.466;122.632;124.897;127.020;128.438;128.522;127.992;127.126;125.649;123.776;123.276;124.917;128.018;131.121;131.484;129.138;126.678;124.574;124.767;128.726;135.183;141.512;144.382;143.802;142.824;144.252;147.765;153.504;160.986;168.305;172.308;171.878;169.844;167.798;166.187;163.163;159.724;156.778;154.072;150.827;147.287;145.435;142.419;138.490;135.778;134.138;133.922;135.904;138917;141441;142238;140527;138431;137039;138260;138498;133633;126708;123096;119606;111677;102909;101116;99218;89959;81536;75812;72589
44;75.794;79.869;81.317;83.136;86.922;91.914;95.025;97.193;100.786;105.295;110.659;115.444;119.418;122.580;124.844;126.970;128.394;128.483;127.962;127.127;125.700;123.859;123.410;125.142;128.434;131.790;132.336;129.990;127.157;124.966;125.376;129.240;135.627;141.980;144.828;144.216;143.209;144.606;148.085;153.788;161.227;168.500;172.461;171.993;169.926;167.849;166.213;163.173;159.726;156.779;154.074;150.831;147.294;145.444;142.430;138.503;135.792;134.153;133.937;135918;138930;141452;142249;140541;138446;137057;138278;138517;133656;126736;123127;119639;111716;102954;101163;99266;90013;81596;75875
45;71.401;75.699;79.756;81.192;83.037;86.844;91.835;94.945;97.117;100.700;105.209;110.593;115.388;119.362;122.516;124.775;126.908;128.341;128.457;127.974;127.151;125.759;123.988;123.598;125.513;129.049;132.573;133.149;130.447;127.513;125.548;125.885;129.667;136.065;142.395;145.210;144.570;143.535;144.902;148.348;154.011;161.406;168.636;172.556;172.055;169.959;167.860;166.207;163.160;159.714;156.768;154.066;150.825;147.291;145.442;142.431;138.507;135.799;134.161;133946;135926;138936;141458;142255;140549;138456;137069;138290;138530;133673;126759;123153;119669;111752;102996;101207;99312;90065;81653
46;69.882;71.280;75.581;79.649;81.094;82.944;86.752;91.739;94.858;97.034;100.607;105.121;110.511;115.309;119.281;122.422;124.692;126.851;128.308;128.422;127.966;127.190;125.848;124.153;123.934;126.065;129.766;133.315;133.544;130.751;128.046;126.044;126.306;130.085;136.460;142.752;145.535;144.868;143.807;145.144;148.554;154.176;161.529;168.716;172.600;172.070;169.954;167.840;166.179;163.132;159.689;156.747;154.048;150.810;147.279;145.432;142.423;138.504;135.798;134162;133948;135927;138936;141457;142255;140551;138461;137076;138298;138539;133687;126779;123177;119696;111785;103036;101249;99356;90115
47;69.100;69.770;71.145;75.436;79.526;80.992;82.848;86.639;91.621;94.748;96.930;100.498;105.000;110.397;115.207;119.182;122.318;124.591;126.765;128.243;128.401;127.994;127.251;125.967;124.451;124.434;126.727;130.461;133.682;133.830;131.238;128.471;126.433;126.723;130.464;136.801;143.056;145.808;145.115;144.028;145.333;148.705;154.288;161.599;168.747;172.600;172.049;169.918;167.798;166.137;163.094;159.655;156.716;154.020;150.786;147.258;145.414;142.409;138.494;135791;134157;133943;135922;138930;141450;142248;140547;138460;137078;138300;138543;133696;126794;123195;119718;111814;103072;101287;99396
48;67.542;68.945;69.605;71.004;75.293;79.389;80.873;82.720;86.512;91.493;94.622;96.810;100.385;104.889;110.276;115.064;119.047;122.207;124.472;126.662;128.190;128.375;128.006;127.335;126.202;124.883;125.035;127.362;130.773;133.920;134.284;131.651;128.830;126.808;127.084;130.790;137.089;143.308;146.030;145.312;144.197;145.469;148.805;154.350;161.623;168.737;172.565;172.000;169.863;167.743;166.085;163.047;159.612;156.677;153.984;150.754;147.230;145.388;142.387;138477;135777;134145;133933;135912;138918;141437;142236;140538;138455;137075;138298;138542;133701;126805;123210;119737;111839;103104;101322
49;65.790;67.403;68.791;69.444;70.849;75.144;79.240;80.730;82.588;86.388;91.362;94.476;96.667;100.256;104.765;110.136;114.937;118.935;122.081;124.357;126.577;128.120;128.339;128.028;127.508;126.586;125.433;125.622;127.651;130.974;134.316;134.660;131.995;129.188;127.147;127.392;131.064;137.328;143.512;146.204;145.459;144.316;145.556;148.859;154.369;161.608;168.694;172.503;171.931;169.796;167.679;166.024;162.990;159.560;156.629;153.941;150.715;147.195;145.356;142359;138454;135758;134129;133918;135896;138902;141420;142220;140525;138445;137068;138292;138537;133701;126812;123222;119753;111862;103134
50;63.499;65.617;67.227;68.611;69.279;70.687;74.985;79.085;80.578;82.441;86.248;91.219;94.331;96.529;100.101;104.600;109.971;114.778;118.794;121.939;124.239;126.494;128.056;128.328;128.159;127.827;127.072;125.967;125.885;127.817;131.326;134.639;134.956;132.320;129.485;127.419;127.637;131.277;137.506;143.657;146.319;145.547;144.377;145.588;148.860;154.339;161.550;168.614;172.411;171.839;169.708;167.596;165.944;162.915;159.490;156.564;153.881;150.660;147.146;145311;142318;138418;135726;134101;133892;135869;138873;141391;142192;140501;138425;137051;138275;138522;133692;126810;123224;119759;111876
51;60.942;63.314;65.418;67.039;68.411;69.079;70.514;74.814;78.915;80.420;82.276;86.071;91.040;94.154;96.371;99.945;104.415;109.790;114.615;118.632;121.792;124.116;126.398;128.021;128.431;128.418;128.236;127.522;126.173;126.034;128.137;131.609;134.887;135.223;132.569;129.713;127.626;127.819;131.429;137.625;143.741;146.373;145.576;144.382;145.566;148.811;154.265;161.453;168.501;172.293;171.724;169.598;167.491;165.843;162.820;159.402;156.481;153.802;150.587;147079;145248;142261;138366;135680;134058;133851;135829;138832;141349;142152;140464;138392;137021;138246;138495;133671;126797;123216;119756
52;58.534;60.720;63.110;65.227;66.842;68.211;68.888;70.322;74.621;78.721;80.240;82.100;85.894;90.860;93.965;96.186;99.765;104.220;109.569;114.429;118.481;121.649;123.999;126.311;128.040;128.614;128.773;128.643;127.673;126.258;126.298;128.391;131.835;135.114;135.422;132.749;129.875;127.768;127.938;131.520;137.682;143.764;146.367;145.547;144.333;145.495;148.719;154.153;161.326;168.363;172.151;171.584;169.465;167.363;165.719;162.703;159.293;156.378;153.705;150496;146995;145168;142187;138299;135618;134000;133796;135773;138775;141291;142095;140412;138344;136977;138203;138453;133636;126772;123196
53;55.487;58.317;60.496;62.880;65.002;66.622;67.993;68.676;70.111;74.409;78.513;80.033;81.897;85.699;90.653;93.753;95.977;99.560;104.016;109.352;114.245;118.322;121.498;123.880;126.295;128.174;128.896;129.115;128.748;127.694;126.457;126.502;128.553;132.001;135.267;135.551;132.862;129.973;127.850;127.999;131.553;137.681;143.728;146.304;145.465;144.235;145.380;148.588;154.009;161.170;168.198;171.983;171.420;169.307;167.212;165.573;162.564;159.162;156.255;153588;150386;146892;145070;142096;138216;135541;133927;133725;135702;138702;141218;142024;140345;138282;136919;138146;138398;133588;126733
54;52.477;55.275;58.082;60.267;62.636;64.761;66.389;67.757;68.444;69.876;74.181;78.294;79.829;81.697;85.487;90.403;93.508;95.749;99.321;103.785;109.135;114.025;118.124;121.349;123.823;126.371;128.379;129.156;129.159;128.733;127.860;126.639;126.668;128.704;132.108;135.344;135.608;132.906;130.006;127.870;128.001;131.526;137.620;143.635;146.186;145.333;144.092;145.226;148.424;153.837;160.988;168.007;171.788;171.231;169.124;167.035;165.403;162.402;159.008;156109;153450;150255;146769;144954;141986;138115;135447;133838;133639;135616;138615;141130;141937;140263;138206;136847;138075;138329;133527
55;50.459;52.252;55.043;57.816;60.000;62.394;64.517;66.141;67.508;68.178;69.598;73.915;78.048;79.604;81.495;85.278;90.164;93.253;95.515;99.086;103.545;108.910;113.826;117.966;121.258;123.864;126.535;128.576;129.143;129.067;128.814;127.970;126.716;126.743;128.766;132.141;135.351;135.598;132.888;129.979;127.832;127.943;131.441;137.503;143.488;146.019;145.156;143.910;145.039;148.233;153.638;160.779;167.788;171.566;171.014;168.915;166.834;165.209;162.217;158833;155942;153290;150105;146628;144818;141859;137997;135336;133733;133537;135514;138511;141026;141834;140165;138114;136760;137989;138244
56;48.993;50.212;52.000;54.772;57.529;59.728;62.130;64.257;65.883;67.231;67.921;69.359;73.652;77.787;79.341;81.207;85.007;89.906;92.990;95.258;98.843;103.292;108.639;113.597;117.841;121.249;123.946;126.669;128.519;129.005;129.093;128.857;127.979;126.735;126.762;128.762;132.112;135.297;135.530;132.814;129.898;127.740;127.834;131.306;137.338;143.294;145.810;144.943;143.698;144.826;148.017;153.415;160.545;167.544;171.319;170.772;168.682;166.609;164.991;162009;158635;155754;153111;149934;146467;144664;141714;137862;135209;133612;133420;135397;138392;140906;141716;140053;138007;136658;137888
57;47.778;48.720;49.933;51.716;54.499;57.256;59.452;61.851;63.982;65.588;66.933;67.632;69.083;73.380;77.494;79.038;80.910;84.714;89.614;92.696;94.953;98.557;103.014;108.363;113.400;117.772;121.316;124.040;126.547;128.347;128.985;129.085;128.838;127.963;126.707;126.719;128.697;132.024;135.188;135.408;132.686;129.764;127.595;127.673;131.122;137.126;143.058;145.562;144.696;143.457;144.587;147.775;153.165;160.283;167.271;171.042;170.502;168.422;166.358;164748;161777;158414;155543;152910;149743;146286;144491;141550;137709;135065;133473;133285;135262;138255;140769;141581;139924;137885;136541
58;46.770;47.488;48.421;49.618;51.430;54.226;56.951;59.144;61.554;63.691;65.275;66.614;67.327;68.782;73.085;77.175;78.705;80.590;84.387;89.264;92.357;94.658;98.271;102.710;108.119;113.294;117.760;121.320;123.859;126.266;128.223;128.938;129.006;128.749;127.881;126.615;126.615;128.575;131.881;135.025;135.233;132.505;129.578;127.402;127.467;130.894;136.873;142.785;145.282;144.422;143.191;144.324;147.509;152.889;159.995;166.972;170.740;170.206;168.136;166082;164481;161521;158171;155310;152688;149532;146086;144299;141367;137538;134903;133318;133134;135111;138102;140614;141429;139778;137746
59;46.259;46.472;47.177;48.125;49.334;51.121;53.899;56.618;58.819;61.224;63.351;64.941;66.288;67.010;68.461;72.749;76.813;78.353;80.255;84.044;88.899;91.988;94.292;97.923;102.450;107.959;113.205;117.706;121.093;123.536;126.069;128.063;128.783;128.864;128.597;127.723;126.452;126.443;128.389;131.676;134.800;134.996;132.266;129.337;127.157;127.213;130.624;136.582;142.477;144.972;144.119;142.897;144.032;147.214;152.586;159.679;166.644;170.409;169.882;167822;165779;164187;161240;157903;155054;152442;149298;145864;144085;141164;137348;134722;133144;132964;134941;137930;140441;141258;139614
60;46.712;45.945;46.159;46.848;47.780;48.999;50.789;53.558;56.272;58.460;60.857;62.962;64.552;65.927;66.643;68.090;72.375;76.434;77.981;79.873;83.666;88.521;91.633;93.967;97.621;102.224;107.815;113.079;117.403;120.708;123.277;125.836;127.846;128.585;128.644;128.372;127.495;126.224;126.210;128.143;131.410;134.516;134.702;131.972;129.045;126.865;126.916;130.314;136.255;142.137;144.630;143.786;142.574;143.711;146.890;152.253;159.333;166.285;170.046;169527;167479;165447;163865;160932;157609;154772;152172;149040;145619;143849;140940;137136;134520;132950;132774;134751;137738;140248;141068
61;48.249;46.358;45.572;45.756;46.441;47.413;48.654;50.454;53.210;55.887;58.078;60.469;62.541;64.144;65.522;66.221;67.702;72.013;76.039;77.570;79.485;83.273;88.113;91.248;93.644;97.384;102.048;107.659;112.752;116.949;120.367;122.997;125.534;127.536;128.289;128.345;128.072;127.197;125.930;125.913;127.834;131.082;134.168;134.346;131.621;128.700;126.525;126.575;129.964;135.890;141.760;144.251;143.417;142.214;143.355;146.531;151.883;158.949;165.888;169645;169135;167100;165080;163509;160591;157283;154460;151872;148754;145347;143586;140689;136899;134294;132732;132562;134538;137522;140032
62;48.096;47.824;45.953;45.173;45.381;46.056;47.037;48.291;50.078;52.808;55.454;57.642;60.047;62.121;63.750;65.115;65.770;67.239;71.536;75.580;77.151;79.067;82.837;87.673;90.852;93.325;97.118;101.794;107.236;112.238;116.552;120.047;122.662;125.161;127.169;127.918;127.974;127.704;126.834;125.573;125.553;127.460;130.689;133.757;133.931;131.215;128.303;126.138;126.192;129.573;135.485;141.340;143.831;143.007;141.815;142.960;146.132;151.474;158.524;165449;169202;168701;166680;164674;163115;160212;156921;154112;151538;148435;145043;143293;140408;136634;134041;132488;132322;134299;137280
63;46.266;47.585;47.350;45.512;44.747;44.982;45.636;46.616;47.875;49.655;52.371;54.992;57.193;59.618;61.683;63.286;64.636;65.299;66.751;71.052;75.115;76.706;78.621;82.364;87.234;90.493;93.038;96.827;101.328;106.674;111.788;116.176;119.639;122.220;124.718;126.718;127.468;127.529;127.265;126.402;125.146;125.124;127.019;130.230;133.282;133.455;130.750;127.853;125.703;125.763;129.138;135.034;140.875;143.364;142.551;141.372;142.520;145.689;151.020;158053;164961;168710;168220;166213;164222;162676;159790;156517;153724;151164;148077;144701;142963;140092;136334;133753;132210;132050;134026
64;43.599;45.728;47.055;46.817;45.010;44.294;44.535;45.186;46.178;47.433;49.220;51.913;54.512;56.706;59.115;61.182;62.788;64.130;64.778;66.211;70.502;74.576;76.197;78.161;81.942;86.811;90.118;92.715;96.353;100.752;106.174;111.317;115.700;119.148;121.705;124.195;126.190;126.944;127.013;126.755;125.897;124.647;124.624;126.509;129.704;132.742;132.916;130.229;127.351;125.218;125.287;128.655;134.534;140.359;142.846;142.045;140.880;142.032;145.196;150515;157530;164422;168165;167686;165696;163720;162188;159320;156066;153289;150746;147675;144317;142591;139735;135994;133427;131894;131740
65;39.269;43.031;45.138;46.470;46.256;44.514;43.806;44.040;44.710;45.711;46.972;48.744;51.410;53.996;56.199;58.579;60.602;62.236;63.597;64.233;65.644;69.947;74.032;75.635;77.643;81.482;86.363;89.675;92.147;95.683;100.136;105.589;110.742;115.119;118.549;121.100;123.584;125.578;126.339;126.416;126.163;125.312;124.070;124.049;125.925;129.105;132.131;132.310;129.644;126.789;124.676;124.754;128.116;133.976;139.783;142.269;141.481;140.330;141.486;144646;149951;156947;163820;167558;167090;165117;163158;161640;158791;155558;152799;150273;147221;143881;142167;139328;135606;133054;131531
66;35.949;38.681;42.437;44.557;45.851;45.676;43.990;43.274;43.523;44.189;45.159;46.431;48.221;50.884;53.434;55.622;58.013;60.028;61.655;63.022;63.650;65.045;69.346;73.454;75.105;77.148;81.021;85.869;89.043;91.431;95.023;99.527;104.967;110.095;114.446;117.864;120.411;122.892;124.888;125.655;125.736;125.489;124.647;123.415;123.398;125.268;128.436;131.452;131.638;128.997;126.169;124.077;124.165;127.518;133.358;139.147;141.630;140.856;139.720;140881;144036;149326;156300;163153;166885;166429;164474;162534;161032;158204;154992;152253;149745;146713;143394;141693;138872;135171;132634
67;34.745;35.388;38.087;41.798;43.919;45.234;45.100;43.430;42.719;42.987;43.648;44.621;45.891;47.674;50.321;52.825;55.010;57.427;59.417;61.027;62.355;62.979;64.424;68.723;72.853;74.549;76.609;80.474;85.197;88.260;90.699;94.325;98.800;104.228;109.348;113.679;117.087;119.634;122.116;124.111;124.879;124.967;124.728;123.897;122.680;122.670;124.535;127.691;130.699;130.896;128.282;125.482;123.414;123.512;126.857;132.675;138.442;140.923;140.164;139045;140210;143359;148633;155583;162413;166139;165696;163762;161841;160356;157550;154363;151645;149157;146146;142848;141163;138361;134682
